Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Markus 5:4	denn man hatte ihn schon oft mit Fußfesseln und Ketten gebunden, aber er hatte die Ketten immer wieder zerrissen und die Fußfesseln zerrieben, und niemand war stark genug, ihn zu überwältigen.
Markus 5:5	Er hielt sich allezeit, bei Tag und bei Nacht, in den Grabhöhlen und auf den Bergen auf, schrie laut und schlug sich selbst mit Steinen.
Markus 5:6	Als er nun Jesus von weitem sah, kam er herbeigelaufen, warf sich vor ihm nieder
Markus 5:7	und stieß laut schreiend die Worte aus: „Was willst du von mir, Jesus, du Sohn Gottes, des Höchsten? Ich beschwöre dich bei Gott: Quäle mich nicht!“
Markus 5:8	Jesus war nämlich im Begriff, ihm zu gebieten: „Fahre aus dem Mann aus, du unreiner Geist!“
Markus 5:9	Da fragte Jesus ihn: „Wie heißt du?“ Er antwortete ihm: „Legion heiße ich, denn wir sind viele.“
Markus 5:10	Dann bat er ihn inständig, er möge sie nicht aus der Gegend verweisen.
Markus 5:11	Nun befand sich dort am Berg eine große Herde Schweine auf der Weide.
Markus 5:12	Da baten sie ihn: „Schicke uns in die Schweine! Lass uns in sie fahren!“
Markus 5:13	Das erlaubte Jesus ihnen auch, und so fuhren denn die unreinen Geister aus und fuhren in die Schweine hinein; und die Herde stürmte den Abhang hinab in den See hinein, etwa zweitausend Tiere, und sie ertranken im See.
Markus 5:14	Ihre Hirten aber ergriffen die Flucht und berichteten den Vorfall in der Stadt und in den Gehöften; da kamen die Leute, um zu sehen, was geschehen war.
Markus 5:15	Als sie nun zu Jesus gekommen waren, sahen sie den früher Besessenen ruhig dasitzen, bekleidet und ganz vernünftig, ihn, der die Legion unreiner Geister in sich gehabt hatte, und sie gerieten darüber in Furcht.
Markus 5:16	Die Augenzeugen erzählten ihnen nun, was mit dem Besessenen vorgegangen war, und auch die Begebenheit mit den Schweinen.
Markus 5:17	Da setzten sie ihm mit Bitten zu, er möge ihr Gebiet verlassen.
Markus 5:18	Als er dann ins Boot steigen wollte, bat ihn der früher Besessene, bei ihm bleiben zu dürfen;
Markus 5:19	doch Jesus gestattete es ihm nicht, sondern sagte zu ihm: „Gehe heim in dein Haus zu deinen Angehörigen und berichte ihnen, wie Großes der Herr an dir getan und wie er sich deiner erbarmt hat!“
Markus 5:20	Da ging er weg und begann im Gebiet der Zehn Städte zu verkündigen, wie Großes Jesus an ihm getan hatte; und alle verwunderten sich darüber.
Markus 5:21	Als Jesus dann im Boot wieder an das jenseitige Ufer hinübergefahren war, sammelte sich eine große Menschenmenge bei ihm, während er sich noch am See befand.
Markus 5:22	Da kam einer von den Vorstehern der Synagoge namens Jaïrus, und als er Jesus erblickte, warf er sich vor ihm nieder
Markus 5:23	und bat ihn inständig mit den Worten: „Mein Töchterlein ist todkrank: Komm doch und lege ihr die Hände auf, damit sie gerettet wird und am Leben bleibt!“
Markus 5:24	Da ging Jesus mit ihm; es folgte ihm aber eine große Menschenmenge und umdrängte ihn.
Markus 5:25	Nun war da eine Frau, die schon zwölf Jahre lang an Blutfluss gelitten
Markus 5:26	und mit vielen Ärzten viel durchgemacht und ihr ganzes Vermögen dafür aufgewendet hatte, ohne Nutzen davon gehabt zu haben – es war vielmehr immer noch schlimmer mit ihr geworden;
Markus 5:27	sie hatte von Jesus gehört und kam nun in der Menschenmenge von hinten heran und fasste sein Gewand an;
Markus 5:28	sie dachte nämlich: „Wenn ich auch nur seine Kleider anfasse, so wird mir geholfen sein.“
Markus 5:29	Und sogleich hörte ihr Blutfluss auf, und sie spürte in ihrem Körper, dass sie von ihrem Leiden geheilt war.
Markus 5:30	Da nun auch Jesus sogleich spürte, dass Kraft von ihm ausgegangen war, wandte er sich in der Menschenmenge um und fragte: „Wer hat meine Kleider angefasst?“
Markus 5:31	Da sagten seine Jünger zu ihm: „Du siehst doch, wie sehr die Menschenmenge dich umdrängt, und da fragst du: ‚Wer hat mich angefasst?‘“
Markus 5:32	Doch er blickte rings um sich nach derjenigen, die es getan hatte.
Markus 5:33	Da kam die Frau voller Angst und zitternd herbei, weil sie wusste, was mit ihr vorgegangen war, warf sich vor ihm nieder und bekannte ihm die ganze Wahrheit.
Markus 5:34	Er aber sagte zu ihr: „Meine Tochter, dein Glaube hat dich gerettet: Gehe hin in Frieden und sei von deinem Leiden geheilt!“
Markus 5:35	Während er noch redete, kamen Leute aus dem Haus des Synagogenvorstehers mit der Meldung: „Deine Tochter ist gestorben: Was bemühst du den Meister noch?“
Markus 5:36	Jesus aber ließ die Nachricht, die da gemeldet wurde, unbeachtet und sagte zu dem Synagogenvorsteher: „Fürchte dich nicht, glaube nur!“
Markus 5:37	Und er ließ niemanden mit sich gehen außer Petrus, Jakobus und Johannes, den Bruder des Jakobus.
Markus 5:38	So kamen sie zum Haus des Synagogenvorstehers, wo er das Getümmel wahrnahm und wie sie weinten und laut wehklagten.
Markus 5:39	Als er dann eingetreten war, sagte er zu den Leuten: „Wozu lärmt und weint ihr? Das Kind ist nicht tot, sondern schläft nur!“
Markus 5:40	Da lachten sie ihn aus. Er aber entfernte alle aus dem Haus, nahm nur den Vater und die Mutter des Kindes und seine Jünger, die ihn begleiteten, mit sich und ging in das Zimmer hinein, wo das Kind lag.
Markus 5:41	Dann fasste er das Kind bei der Hand und sagte zu ihm: „Talita kum!“, was übersetzt heißt: „Mädchen, ich sage dir: Stehe auf!“
Markus 5:42	Da stand das Mädchen sogleich auf und ging umher; denn sie war zwölf Jahre alt. Da gerieten sie sofort vor Staunen ganz außer sich.
Markus 5:43	Er gebot ihnen dann ernstlich, niemand solle etwas von dem Geschehenen erfahren, und ordnete an, man möge ihr zu essen geben.
Markus 6:1	Er zog dann von dort weiter und kam in seine Vaterstadt Nazaret, und seine Jünger begleiteten ihn.
Markus 6:2	Als nun der Sabbat gekommen war, fing er an, in der Synagoge zu lehren; und die vielen, die ihm zuhörten, gerieten in Staunen und sagten: „Woher hat er das? Und was ist das für eine Weisheit, die diesem verliehen ist? Und solche Wundertaten geschehen durch seine Hände!
Markus 6:3	Ist dieser nicht der Zimmermann, der Sohn der Maria und der Bruder des Jakobus, des Joses, des Judas und des Simon? Und leben nicht auch seine Schwestern hier bei uns? So nahmen sie Anstoß an ihm.
Markus 6:4	Da sagte Jesus zu ihnen: „Ein Prophet gilt nirgends weniger als in seiner Vaterstadt und bei seinen Verwandten und in seiner Familie.“
Markus 6:5	Er konnte dort auch kein Wunder vollbringen, außer dass er einige Kranke durch Handauflegen heilte.
Markus 6:6	Und er verwunderte sich über ihren Unglauben. Er zog dann in den umliegenden Ortschaften umher und lehrte dort.
Markus 6:7	Darauf rief er die Zwölf zu sich und begann sie paarweise auszusenden; dabei gab er ihnen Macht über die unreinen Geister
Markus 6:8	und gebot ihnen, nichts auf den Weg mitzunehmen als nur einen Stab, kein Brot, keine Tasche und kein Geld im Gürtel;
Markus 6:9	jedoch Sandalen sollten sie sich unterbinden, aber nicht zwei Unterkleider anziehen.
Markus 6:10	Weiter gab er ihnen die Weisung: „Wo ihr in ein Haus eingetreten seid, da bleibt, bis ihr von dort weiterzieht;
Markus 6:11	und wenn ein Ort euch nicht aufnimmt und man euch nicht hören will, so geht von dort weg und schüttelt den Staub von euren Fußsohlen ab zum Zeugnis gegen sie!“
Markus 6:12	So machten sie sich denn auf den Weg und predigten, man solle umkehren;
Markus 6:13	sie trieben auch viele böse Geister aus, salbten viele Kranke mit Öl und heilten sie.
Markus 6:14	Auch König Herodes hörte davon; denn sein Name war bekannt geworden, und man sagte: „Johannes der Täufer ist von den Toten auferweckt worden, darum sind die Wunderkräfte in ihm wirksam.“
Markus 6:15	Andere aber sagten, er sei Elija; noch andere behaupteten, er sei ein Prophet wie einer der Propheten vor alters.
Markus 6:16	Als aber Herodes davon hörte, sagte er: „Johannes, den ich habe enthaupten lassen, ist wieder auferweckt worden.“
Markus 6:17	Eben dieser Herodes nämlich hatte Diener ausgesandt und Johannes festnehmen und ihn gefesselt ins Gefängnis werfen lassen um der Herodias willen, der Frau seines Bruders Philippus, weil er sie geheiratet hatte;
Markus 6:18	denn Johannes hatte dem Herodes vorgehalten: „Du darfst die Frau deines Bruders nicht zur Frau haben.“
Markus 6:19	Das trug Herodias ihm nach und hätte ihn am liebsten umgebracht, vermochte es aber nicht;
Markus 6:20	denn Herodes hatte Scheu vor Johannes, weil er ihn als einen gerechten und heiligen Mann kannte, und er nahm ihn in seinen Schutz; und oftmals, wenn er ihn gehört hatte, war er schwer betroffen, hörte ihn aber dennoch gern.
Markus 6:21	Da kam ein für Herodias gelegener Tag, als nämlich Herodes an seinem Geburtstag für seine Würdenträger und Heeresobersten sowie die vornehmsten Männer von Galiläa ein Festmahl veranstaltete.
Markus 6:22	Als dabei die Tochter eben jener Herodias in den Saal eintrat und einen Tanz aufführte, gefiel sie dem Herodes und seinen Tischgästen wohl. Da sagte der König zu dem Mädchen: „Erbitte dir von mir, was du willst: Ich will es dir geben!“,
Markus 6:23	und er schwor ihr: „Was du dir auch von mir erbitten magst, das will ich dir geben bis zur Hälfte meines Reiches!“
Markus 6:24	Da ging sie hinaus und fragte ihre Mutter: „Was soll ich mir erbitten?“ Sie antwortete: „Den Kopf Johannesʼ des Täufers!“
Markus 6:25	Sogleich ging sie in Eile zum König hinein und sprach die Bitte aus: „Ich möchte, dass du mir gleich jetzt auf einem Teller den Kopf Johannesʼ des Täufers gibst!“
Markus 6:26	Obgleich nun der König sehr betrübt darüber war, mochte er sie doch wegen seiner Eide und seiner Tischgäste nicht vergebens darum bitten lassen.
Markus 6:27	So schickte denn der König sogleich einen von seinen Leibwächtern hin mit dem Befehl, den Kopf des Johannes zu bringen. Dieser ging hin, enthauptete ihn im Gefängnis,
Markus 6:28	brachte seinen Kopf auf einem Teller und gab ihn dem Mädchen, und das Mädchen gab ihn seiner Mutter.
Markus 6:29	Als die Jünger des Johannes Kunde davon erhielten, kamen sie, nahmen seinen Leichnam und bestatteten ihn in einem Grab.
Markus 6:30	Die Apostel versammelten sich dann wieder bei Jesus und berichteten ihm alles, was sie getan und was sie gelehrt hatten.
Markus 6:31	Da sagte er zu ihnen: „Kommt ihr allein mit mir an einen einsamen Ort und ruht dort ein wenig aus!“ Denn die Zahl der Leute, die da kamen und gingen, war groß, sodass sie nicht einmal Zeit zum Essen hatten.
Markus 6:32	So fuhren sie denn im Boot in eine einsame Gegend, um für sich allein zu sein;
Markus 6:33	doch man hatte sie abfahren sehen, und viele hatten ihre Absicht bemerkt; sie eilten daher aus allen Ortschaften zu Fuß dort zusammen und kamen noch vor ihnen an.
Markus 6:34	Als Jesus nun aus dem Boot ausstieg und eine große Menschenmenge versammelt sah, ergriff ihn tiefes Mitleid mit ihnen, denn sie waren wie Schafe, die keinen Hirten haben; und er fing an, sie vieles zu lehren.
Markus 6:35	Als dann die Zeit schon weit vorgerückt war, traten seine Jünger zu ihm und sagten: „Die Gegend hier ist abgeschieden und die Zeit schon weit vorgerückt;
Markus 6:36	lass die Leute ziehen, damit sie in die umliegenden Gehöfte und in die Ortschaften gehen und sich dort etwas zu essen kaufen können.“
Markus 6:37	Er aber antwortete ihnen: „Gebt ihr ihnen zu essen!“ Da sagten sie zu ihm: „Sollen wir hingehen und für zweihundert Denare Brot kaufen, um ihnen zu essen zu geben?“
Markus 6:38	Er aber antwortete ihnen: „Wie viele Brote habt ihr? Geht hin, seht nach!“ Als sie nun nachgesehen hatten, meldeten sie ihm: „Fünf Brote und zwei Fische.“
Markus 6:39	Da gab er ihnen die Weisung, sie sollten sich alle zu einzelnen Gruppen auf dem grünen Gras lagern;
Markus 6:40	so ließen sie sich denn gruppenweise zu hundert und zu fünfzig nieder.
Markus 6:41	Hierauf nahm er die fünf Brote und die beiden Fische, blickte zum Himmel auf, sprach den Lobpreis Gottes, brach die Brote und gab sie seinen Jüngern, damit diese sie den Leuten reichten; auch die beiden Fische ließ er für alle austeilen.
Markus 6:42	Und sie aßen alle und wurden satt;
Markus 6:43	dann hob man an Brotstücken noch zwölf Körbe voll vom Boden auf, dazu auch Überbleibsel von den Fischen.
Markus 6:44	Und die Zahl derer, die von den Broten gegessen hatten, betrug fünftausend Männer.
Markus 6:45	Und sogleich drängte er seine Jünger, in das Boot zu steigen und ihm an das jenseitige Ufer nach Betsaida vorauszufahren, während er selbst die Menschenmenge entlassen wollte.
Markus 6:46	Nachdem er sie dann verabschiedet hatte, ging er auf den Berg hinauf, um zu beten.
Markus 6:47	Als es Abend geworden war, befand sich das Boot mitten auf dem See, während er selbst allein noch an Land war.
Markus 6:48	Als er nun sah, wie sie sich auf der Fahrt beim Rudern abmühten – denn der Wind stand ihnen entgegen –, kam er um die vierte Nachtwache auf sie zu, indem er auf dem See ging, und wollte an ihnen vorübergehen.
Markus 6:49	Als sie ihn aber so auf dem See wandeln sahen, dachten sie, es sei ein Gespenst, und schrien auf;
Markus 6:50	denn alle sahen ihn und waren in Angst geraten. Er aber redete sie sogleich an und sagte zu ihnen: „Seid getrost, ich binʼs: Fürchtet euch nicht!“
Markus 6:51	Er stieg darauf zu ihnen ins Boot: Da legte sich der Wind. Nun gerieten sie vollends vor Erstaunen ganz außer sich;
Markus 6:52	denn bei der Brotspeisung war ihnen noch kein Verständnis gekommen, sondern ihr Herz war verhärtet.
Markus 6:53	Als sie dann ans Land hinübergefahren waren, kamen sie nach Gennesaret und legten dort an.
Markus 6:54	Als sie aus dem Boot gestiegen waren, erkannten die Leute ihn dort sogleich,
Markus 6:55	liefen in jener ganzen Gegend umher und begannen die Kranken auf Bahren umherzutragen und dahin zu bringen, wo er sich dem Vernehmen nach gerade aufhielt.
Markus 6:56	Und wo er in Dörfern oder Städten oder Gehöften einkehrte, legten sie die Kranken auf den freien Plätzen nieder und baten ihn, dass sie auch nur den Saum seines Gewandes anfassen dürften; und alle, die ihn anfassten, wurden gesund.
Markus 7:1	Da versammelten sich bei ihm die Pharisäer und einige Schriftgelehrte, die aus Jerusalem gekommen waren;
Markus 7:2	und als sie einige seiner Jünger Brot mit unreinen, das heißt ungewaschenen, Händen zu sich nehmen sahen –
Markus 7:3	die Pharisäer nämlich und die Juden überhaupt essen nur, wenn sie sich die Hände wenigstens mit einer Handvoll Wasser gewaschen haben, weil sie an den von den Alten überlieferten Satzungen festhalten;
Markus 7:4	und auch wenn sie vom Markt heimkommen, essen sie nicht, ohne sich zunächst die Hände abgespült zu haben; und noch viele andere Vorschriften gibt es, deren strenge Beachtung sie sich auferlegt haben, zum Beispiel das Waschen von Bechern, Krügen und Kupfergeschirr –,
Markus 7:5	da fragten ihn die Pharisäer und Schriftgelehrten: „Warum halten sich deine Jünger in ihrer Lebensweise nicht an die Überlieferung der Alten, sondern nehmen die Speisen mit unreinen Händen zu sich?“
Markus 7:6	Er antwortete ihnen: „Treffend hat Jesaja von euch Heuchlern geweissagt, wie geschrieben steht: ‚Dieses Volk ehrt mich nur mit den Lippen, sein Herz aber ist weit entfernt von mir;
Markus 7:7	doch vergeblich verehrt es mich, weil es Menschengebote zu seinen Lehren macht.‘
Markus 7:8	Das Gebot Gottes lasst ihr außer Acht und haltet an den euch überlieferten Satzungen der Menschen fest[; ihr wascht Krüge und Becher und tut noch viel Ähnliches dieser Art].“
Markus 7:9	Dann fuhr er fort: „Trefflich versteht ihr es, das Gebot Gottes aufzuheben, um an den euch überlieferten Satzungen festzuhalten.
Markus 7:10	Mose hat zum Beispiel geboten: ‚Ehre deinen Vater und deine Mutter‘, und: ‚Wer den Vater oder die Mutter schmäht, soll des Todes sterben.‘
Markus 7:11	Ihr aber sagt: ‚Wenn jemand zu seinem Vater oder zu seiner Mutter sagt: „Korbán“, das heißt: „Eine Gabe für den Tempelschatz soll das sein, was dir sonst als Unterstützung von mir zugutegekommen wäre“‘,
Markus 7:12	so lasst ihr ihn für seinen Vater oder seine Mutter nichts mehr tun
Markus 7:13	und hebt damit das Wort Gottes durch eure Überlieferung auf, die ihr weitergegeben habt; und viel Ähnliches dieser Art tut ihr.“
