Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
1 Samuel 17:26	Da fragte David die Männer, die bei ihm standen: „Wie soll der Mann belohnt werden, der diesen Philister da erschlägt und Israel von der Schande befreit? Wer ist denn dieser Philister, dieser Heide, dass er die Schlachtreihen des lebendigen Gottes beschimpfen darf?“
1 Samuel 17:27	Da wiederholten ihm die Leute die frühere Mitteilung: „So und so wird man den Mann belohnen, der ihn erschlägt!“
1 Samuel 17:28	Als nun sein ältester Bruder Eliab hörte, wie er sich mit den Männern unterhielt, geriet er in Zorn über David und rief aus: „Wozu bist du eigentlich hergekommen, und wem hast du die paar Schafe dort in der Steppe überlassen? Ich kenne deinen vorwitzigen und boshaften Sinn wohl: Du bist nur hergekommen, um dir den Krieg anzusehen!“
1 Samuel 17:29	David entgegnete: „Nun, was habe ich denn jetzt getan? Es war ja nur eine Frage!“
1 Samuel 17:30	Damit wandte er sich von ihm ab, einem anderen zu, und wiederholte seine vorige Frage, und die Leute gaben ihm dieselbe Auskunft wie zuvor.
1 Samuel 17:31	Als man nun hörte, wie David sich ausgesprochen hatte, hinterbrachte man es dem Saul, und dieser ließ ihn zu sich kommen.
1 Samuel 17:32	Da sagte David zu Saul: „Kein Mensch braucht um den da den Mut zu verlieren! Dein Knecht will hingehen und mit diesem Philister kämpfen.“
1 Samuel 17:33	Saul aber antwortete ihm: „Du kannst diesem Philister nicht entgegentreten, um mit ihm zu kämpfen; denn du bist noch ein Jüngling, er aber ist ein Kriegsmann von Jugend an!“
1 Samuel 17:34	Da entgegnete David dem Saul: „Dein Knecht hat seinem Vater das Kleinvieh gehütet; wenn da ein Löwe oder ein Bär kam und ein Stück aus der Herde wegtrug,
1 Samuel 17:35	so lief ich ihm nach und erschlug ihn und riss es ihm aus dem Rachen; leistete er mir aber Widerstand, so packte ich ihn am Bart und schlug ihn tot.
1 Samuel 17:36	Löwen so gut wie Bären hat dein Knecht erschlagen, und diesem Philister, diesem Heiden, soll es ebenso ergehen wie jenen allen; denn er hat die Schlachtreihen des lebendigen Gottes verhöhnt!“
1 Samuel 17:37	Dann fuhr David fort: „Der Herr, der mich aus den Krallen der Löwen und aus den Klauen der Bären errettet hat, der wird mich auch aus der Hand dieses Philisters erretten.“ Da sagte Saul zu David: „So gehe hin! Der Herr wird mit dir sein!“
1 Samuel 17:38	Hierauf legte Saul dem David seine Rüstung an: Er setzte ihm einen ehernen Helm aufs Haupt und zog ihm einen Panzer an;
1 Samuel 17:39	weiter musste David Sauls Schwert über seinen Waffenrock gürten und bemühte sich dann zu gehen; denn er hatte es noch nie versucht. Aber er sagte zu Saul: „Ich kann darin nicht gehen, denn ich bin nicht daran gewöhnt.“ So legte David denn alles wieder ab,
1 Samuel 17:40	nahm nur seinen Stecken in die Hand, suchte sich aus dem Bach fünf glatte Kieselsteine aus und tat sie in die Hirtentasche, die ihm als Tasche diente; dann nahm er seine Schleuder in die Hand und ging auf den Philister los.
1 Samuel 17:41	Der Philister aber kam immer näher an David heran, während sein Schildträger vor ihm herschritt.
1 Samuel 17:42	Als nun der Philister hinblickte und David sah, verachtete er ihn, weil er noch so jung war, ein rotbrauner Jüngling von schmuckem Aussehen.
1 Samuel 17:43	Daher rief der Philister dem David zu: „Bin ich etwa ein Hund, dass du mit Stöcken zu mir kommst?“ Hierauf verfluchte der Philister den David bei seinem Gott
1 Samuel 17:44	und rief dem David zu: „Komm nur her zu mir, damit ich dein Fleisch den Vögeln des Himmels und den Tieren des Feldes gebe!“
1 Samuel 17:45	David aber erwiderte ihm: „Du trittst mir mit Schwert und Lanze und Wurfspieß entgegen, ich aber trete dir entgegen im Namen des Herrn der Heerscharen, des Gottes der Schlachtreihen Israels, die du verhöhnt hast.
1 Samuel 17:46	Am heutigen Tage wird dich der Herr in meine Hand fallen lassen, dass ich dich erschlage und dir den Kopf abhaue; und deinen Leichnam und die Leichen des Philisterheeres werde ich noch heute den Vögeln des Himmels und den wilden Tieren des Landes übergeben, damit alle Welt erkennt, dass Israel einen Gott hat!
1 Samuel 17:47	Und alle, die hier versammelt sind, sollen erkennen, dass der Herr nicht Schwert und Spieß braucht, um Rettung zu schaffen; denn der Kampf ist des Herrn, und er wird euch in unsere Hand geben!“
1 Samuel 17:48	Als sich nun der Philister in Bewegung setzte und auf David losging, lief dieser eilends aus der Schlachtreihe, dem Philister entgegen;
1 Samuel 17:49	dabei griff er mit der Hand in die Tasche, nahm einen Stein heraus, schleuderte ihn und traf den Philister an der Stirn, sodass ihm der Stein in die Stirn eindrang und er vornüber zu Boden fiel.
1 Samuel 17:50	So überwältigte David den Philister mit der Schleuder und dem Stein, besiegte den Philister und tötete ihn, ohne ein Schwert in der Hand zu haben.
1 Samuel 17:51	Dann lief er hin, trat an den Philister heran, nahm dessen Schwert, zog es aus der Scheide und tötete ihn vollends, indem er ihm den Kopf damit abhieb. Als nun die Philister sahen, dass ihr stärkster Mann tot war, ergriffen sie die Flucht.
1 Samuel 17:52	Da machten sich die Männer von Israel und Juda auf, erhoben das Kriegsgeschrei und verfolgten die Philister bis nach Gat und bis an die Tore von Ekron, sodass die Leichen der erschlagenen Philister auf dem Wege von Schaarajim bis nach Gat und Ekron lagen.
1 Samuel 17:53	Als dann die Israeliten von der Verfolgung der Philister zurückkehrten, plünderten sie deren Lager.
1 Samuel 17:54	David aber nahm den Kopf des Philisters und brachte ihn nach Jerusalem; dessen Rüstung dagegen legte er in seinem Zelte nieder.
1 Samuel 17:55	Als aber Saul sah, wie David dem Philister entgegenging, fragte er seinen Heerführer Abner: „Wessen Sohn ist denn der Jüngling, Abner?“ Dieser antwortete: „Bei deinem Leben, o König: Ich weiß es nicht!“
1 Samuel 17:56	Da gab ihm der König den Auftrag: „Erkundige dich doch, wessen Sohn der junge Mann ist!“
1 Samuel 17:57	Sobald nun David von dem Sieg über den Philister zurückkehrte, nahm ihn Abner mit sich und führte ihn vor Saul, während er den Kopf des Philisters noch in der Hand hatte.
1 Samuel 17:58	Da fragte ihn Saul: „Wessen Sohn bist du, junger Mann?“, und David antwortete: „Der Sohn deines Knechtes Isai aus Betlehem.“
1 Samuel 18:1	Als nun David seine Unterredung mit Saul beendet hatte, da schloss Jonatan den David in sein Herz und gewann ihn lieb wie sein eigenes Leben.
1 Samuel 18:2	Saul aber nahm David an jenem Tage zu sich und ließ ihn nicht wieder in das Haus seines Vaters zurückkehren.
1 Samuel 18:3	Da schloss Jonatan einen Freundschaftsbund mit David, weil er ihn wie sich selbst liebte.
1 Samuel 18:4	Dabei zog Jonatan den Mantel aus, den er anhatte, und gab ihn David, dazu auch seinen Waffenrock samt seinem Schwerte, seinem Bogen und seinem Gürtel.
1 Samuel 18:5	Sooft nun David Kriegszüge unternahm, hatte er überall Glück, wohin Saul ihn sandte; daher übertrug Saul ihm die Stelle eines Anführers in seinem Heere; und er war beim ganzen Volk und auch bei den Hofleuten Sauls beliebt.
1 Samuel 18:6	Es begab sich aber bei der Heimkehr Sauls und des Heeres, als David aus der Philisterschlacht zurückkehrte: Da zogen die Frauen aus allen Ortschaften Israels singend und tanzend mit Handpauken, Jubelgeschrei und Zimbeln dem König Saul entgegen;
1 Samuel 18:7	und die Frauen hoben im Wechselgesang an: „Saul hat seine Tausende erschlagen, David aber seine Zehntausende!“
1 Samuel 18:8	Da geriet Saul in heftigen Zorn, weil dieses Lied ihm durchaus missfiel, und er sagte: „Dem David weisen sie zehntausend zu, mir aber nur tausend; nun fehlt ihm nur noch das Königtum!“
1 Samuel 18:9	So sah denn Saul den David seit jenem Tage und weiterhin mit Neid an.
1 Samuel 18:10	Am folgenden Tage nun kam ein böser Geist Gottes über Saul, sodass er im Hause drinnen raste; David aber spielte die Zither, wie er dies alle Tage zu tun pflegte, während Saul den Speer in der Hand hatte.
1 Samuel 18:11	Da schleuderte Saul den Speer, und er dachte: „Ich will David an die Wand spießen!“, aber David wich ihm zweimal aus.
1 Samuel 18:12	Da fürchtete sich Saul vor David, weil der Herr mit ihm war, während er von Saul gewichen war.
1 Samuel 18:13	Darum entfernte ihn Saul aus seiner Nähe und machte ihn zum Hauptmann über tausend Mann. Er unternahm nun Kriegszüge an der Spitze seiner Leute
1 Samuel 18:14	und hatte bei allen seinen Unternehmungen Glück, weil der Herr mit ihm war.
1 Samuel 18:15	Als nun Saul sah, dass er außerordentliches Glück hatte, geriet er in Angst vor ihm;
1 Samuel 18:16	aber bei ganz Israel und Juda war David beliebt, weil er bei seinen Kriegszügen an ihrer Spitze aus- und einzog.
1 Samuel 18:17	Da sagte Saul zu David: „Hier ist meine älteste Tochter Merab, die will ich dir zur Frau geben; nur musst du dich mir als Held erweisen und die Kriege des Herrn führen.“ Saul dachte nämlich: „Ich selbst will nicht Hand an ihn legen, sondern die Philister sollen ihn ums Leben bringen.“
1 Samuel 18:18	Da antwortete David dem Saul: „Wer bin ich, und was ist meine Familie, das Haus meines Vaters, in Israel, dass ich des Königs Schwiegersohn werden sollte?“
1 Samuel 18:19	Als dann aber die Zeit kam, da Merab, die Tochter Sauls, dem David gegeben werden sollte, wurde sie mit Adriël aus Mehola verheiratet.
1 Samuel 18:20	Aber Sauls Tochter Michal fasste Liebe zu David. Als Saul Kenntnis davon erhielt, fand die Sache seinen Beifall;
1 Samuel 18:21	er dachte nämlich: „Ich will sie ihm zur Frau geben, damit sie für ihn zur Schlinge wird und er den Philistern in die Hände fällt.“ So sagte denn Saul zu David: „Mit der zweiten sollst du jetzt mein Schwiegersohn werden.“
1 Samuel 18:22	Darauf gab er seinen Dienern die Weisung: „Redet vertraulich mit David und sagt ihm: ‚Der König hat offenbar Wohlgefallen an dir, und alle seine Diener haben dich gern; so werde also nun der Schwiegersohn des Königs!‘“
1 Samuel 18:23	Als nun die Diener Sauls in dieser Weise dem David zuredeten, entgegnete David: „Dünkt es euch etwas Leichtes, des Königs Schwiegersohn zu werden? Ich bin ja doch nur ein armer und geringer Mann.“
1 Samuel 18:24	Als nun die Diener Sauls diesem berichteten: „So und so hat David sich ausgesprochen“,
1 Samuel 18:25	antwortete Saul: „Teilt dem David mit, der König begehre keine andere Heiratsgabe als hundert Vorhäute von Philistern, um Rache an den Feinden des Königs zu nehmen.“ Saul gedachte nämlich, David durch die Hand der Philister aus der Welt zu schaffen.
1 Samuel 18:26	Als nun Sauls Diener dem David diese Äußerung hinterbrachten, war David damit einverstanden, des Königs Schwiegersohn zu werden; und ehe noch die Zeit um war,
1 Samuel 18:27	machte David sich mit seinen Leuten auf den Weg und erschlug unter den Philistern zweihundert Mann. Er brachte dann ihre Vorhäute heim und lieferte sie dem Könige vollzählig ab, um des Königs Schwiegersohn zu werden. Da gab ihm Saul seine Tochter Michal zur Frau.
1 Samuel 18:28	Als aber Saul immer klarer erkannte, dass der Herr mit David war und dass Michal, die Tochter Sauls, ihn liebte,
1 Samuel 18:29	fürchtete Saul sich noch mehr vor David und wurde ihm für immer feind.
1 Samuel 18:30	Sooft aber die Fürsten der Philister ins Feld zogen, hatte David allemal größeren Erfolg als alle anderen Heerführer Sauls, sodass sein Name in hohen Ehren stand.
1 Samuel 19:1	Als nun Saul zu seinem Sohne Jonatan und seiner ganzen Umgebung davon redete, dass er David töten wolle,
1 Samuel 19:2	hinterbrachte Jonatan, der Sohn Sauls, es dem David, den er sehr liebhatte, mit den Worten: „Mein Vater Saul trachtet dir nach dem Leben; nimm dich daher morgen früh in Acht und halte dich sorgfältig verborgen!
1 Samuel 19:3	Ich selbst aber will hinausgehen und auf dem Felde, wo du dich befindest, neben meinen Vater treten; ich will dann mit meinem Vater von dir reden und sehen, wie die Sache steht, und es dir dann mitteilen.“
1 Samuel 19:4	Hierauf trat Jonatan bei der Unterredung mit seinem Vater Saul für David ein, indem er zu ihm sagte: „Der König versündige sich nicht an seinem Diener David; denn er hat sich dir gegenüber nichts zuschulden kommen lassen, sondern sich große Verdienste um dich erworben;
1 Samuel 19:5	er hat sogar sein Leben aufs Spiel gesetzt und den Philister erschlagen, und so hat der Herr dem ganzen Volk Israel einen herrlichen Sieg verschafft. Du hast es mitangesehen und dich darüber gefreut: Warum willst du dich also an unschuldigem Blut versündigen, indem du David ohne Grund tötest?“
1 Samuel 19:6	Da schenkte Saul der Stimme Jonatans Gehör und schwor: „So wahr der Herr lebt, er soll nicht sterben!“
1 Samuel 19:7	Nun rief Jonatan den David zu sich und teilte ihm diese ganze Unterredung mit; dann führte er David zu Saul, und er war wieder in der Gegenwart des Königs wie früher.
1 Samuel 19:8	Als dann aber der Krieg aufs Neue ausbrach und David, der gegen die Philister ins Feld gezogen war, ihnen eine schwere Niederlage beigebracht und sie in die Flucht geschlagen hatte,
1 Samuel 19:9	kam der böse Geist des Herrn wieder über Saul, als er in seinem Hause saß und seinen Speer in der Hand hatte, während David die Zither spielte.
1 Samuel 19:10	Da gedachte Saul, den David mit dem Speer an die Wand zu spießen; aber David wich dem Saul aus, sodass der Speer in die Wand fuhr und David sich durch Flucht retten konnte.
1 Samuel 19:11	In derselben Nacht nun sandte Saul Boten in Davids Haus, die ihn bewachen sollten, damit er ihn am anderen Morgen töten könnte. Aber Davids Frau Michal verriet es ihm und sagte: „Wenn du dich nicht noch in dieser Nacht in Sicherheit bringst, so bist du morgen des Todes!“
1 Samuel 19:12	Nachdem Michal ihn dann durchs Fenster hinabgelassen hatte, ergriff er die Flucht und entkam glücklich.
1 Samuel 19:13	Hierauf nahm Michal den Hausgott, legte ihn aufs Bett, legte dann ein Geflecht von Ziegenhaaren zu seinen Häupten und deckte ihn mit der Decke zu.
1 Samuel 19:14	Als nun Saul Boten sandte, um David festnehmen zu lassen, erklärte sie, er sei krank.
1 Samuel 19:15	Da sandte Saul die Boten zurück, um nach David zu sehen, mit dem Befehl: „Bringt ihn mitsamt dem Bett zu mir her, damit ich ihn töte.“
1 Samuel 19:16	Als nun die Boten hinkamen, fanden sie den Hausgott im Bett liegen und das Geflecht von Ziegenhaaren zu seinen Häupten.
1 Samuel 19:17	Da sagte Saul zu Michal: „Warum hast du mich so betrogen und meinen Feind entrinnen lassen, sodass er sich in Sicherheit gebracht hat?“ Michal gab ihm zur Antwort: „Er sagte zu mir: ‚Lass mich gehen, sonst muss ich dich töten!‘“
1 Samuel 19:18	David also hatte sich glücklich durch die Flucht gerettet und war nach Rama zu Samuel gekommen, dem er alles mitteilte, was Saul ihm angetan hatte. Er ging dann mit Samuel hin, und beide wohnten im Prophetenhause bei Rama.
1 Samuel 19:19	Als nun Saul die Kunde erhielt, David halte sich im Prophetenhause bei Rama auf,
1 Samuel 19:20	sandte er Boten ab, die David festnehmen sollten. Als diese aber die Versammlung der Propheten sahen, die sich in Verzückung befanden, und Samuel an ihrer Spitze stehend erblickten, kam der Geist Gottes über die Boten Sauls, sodass auch sie in prophetische Verzückung gerieten.
1 Samuel 19:21	Als man das dem Saul meldete, schickte er andere Boten ab, aber auch diese gerieten in Verzückung, und ebenso erging es den Boten, die Saul zum dritten Mal sandte.
1 Samuel 19:22	Nun ging er selbst nach Rama; und als er bei der großen Zisterne, die sich in Sechu befindet, angekommen war, fragte er: „Wo sind hier Samuel und David?“ Man antwortete ihm: „Im Prophetenhause zu Rama.“
1 Samuel 19:23	Er ging also von dort zum Prophetenhause bei Rama; als er aber noch unterwegs war, kam auch über ihn der Geist Gottes, und er befand sich auf dem ganzen Wege in prophetischer Verzückung bis zu seiner Ankunft im Prophetenhause bei Rama.
1 Samuel 19:24	Dort zog auch er seine Oberkleider aus und war ebenfalls in Verzückung vor Samuel und lag schließlich nackt während jenes ganzen Tages und der ganzen Nacht da. Daher pflegt man zu sagen: „Gehört auch Saul zu den Propheten?“
1 Samuel 20:1	David aber kam heimlich aus der Prophetenwohnung bei Rama zu Jonatan und sagte zu ihm: „Was habe ich verbrochen? Worin besteht meine Schuld und worin mein Vergehen gegen deinen Vater, dass er mir nach dem Leben trachtet?“
